locality,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
ABBOTSFORD,652000,736000,730000,714000,792500,862500,925000,1187500,1280000,1192500,1030000,1150000,
ABERFELDIE,786500,1046500,994000,852500,947500,1045000,1207500,1300000,1453000,1500000,1390000,1592500,
AINTREE,-,-,-,-,-,-,680500,640000,571500,580000,610000,675000,
AIREYS INLET,515000,606000,680000,634000,664000,625500,680000,715000,737500,869000,985000,1005000,
AIRPORT WEST,456000,575000,557500,495000,532000,575000,635000,742000,845000,847500,790000,900000,
ALBANVALE,280000,320000,317000,310000,313000,326500,345000,439000,526500,546000,512000,563000,
ALBERT PARK,1050000,1167500,1390000,1265000,1360000,1503000,1700000,1775000,2150000,2070000,1965000,1110000,
ALBION,349000,440000,400000,379500,379000,432000,481000,593000,730000,755000,675000,765000,
ALEXANDRA,220000,230000,255000,239000,261000,247500,285000,275000,291500,335000,325500,385000,
ALFREDTON,300000,316000,333000,340000,361500,362000,340500,375000,412500,439000,480000,500000,
ALLANSFORD,242500,250500,332000,257500,310000,242500,259000,275000,280000,245000,300000,313000,
ALPHINGTON,836500,1000000,985000,1000000,1080000,1029000,1296500,1240500,1749000,1710000,1570000,1410000,
ALTONA,499000,628500,575000,570000,575000,646500,718000,825000,950000,932500,882500,888500,
ALTONA EAST,432500,571000,523000,550000,561000,605000,650000,795000,885000,895000,842500,852500,
ALTONA MEADOWS,350000,385000,395000,375000,390000,415000,440000,495000,625000,631500,617500,650000,
ALTONA NORTH,419000,515000,520000,484000,510000,555000,645000,726000,828000,840000,788500,845000,
ANGLESEA,512500,580000,600500,587500,550000,612500,635000,652500,788000,861000,905000,1015000,
APOLLO BAY,430000,442500,495000,432500,450000,460000,435000,480000,545000,550000,597500,680000,
ARARAT,159500,174000,169000,165000,180000,200000,210000,204500,200000,199000,216500,228000,
ARDEER,311000,382500,360000,342500,330000,360000,381500,517500,595000,629000,571500,590000,
ARMADALE,1605000,1800000,1615000,1500000,1675000,1750000,2172500,2367500,2300000,2341500,2462500,2325000,
ARMSTRONG CREEK,-,-,205000,362500,467500,441500,440000,450000,471000,535000,540000,530500,
ASCOT (GREATER BENDIGO),278000,330000,323500,350000,349500,344500,349000,370000,358000,380000,415500,454000,
ASCOT VALE,625500,750000,735000,701500,735000,810000,885000,1020000,1192500,1200000,1088500,1102000,
ASHBURTON,790000,985000,890000,870000,1000000,1200000,1435000,1567500,1812500,1712500,1651000,1480000,
ASHWOOD,640000,760000,749000,681000,775000,888000,1140000,1230000,1359000,1210000,1100000,1099000,
ASPENDALE,547500,637500,630000,610000,620000,690000,795500,891000,1125000,980000,994000,1167500,
ASPENDALE GARDENS,498500,581000,550000,552000,586500,632000,715000,775000,882500,935000,844000,898500,
ATTWOOD,485000,576000,592000,500000,540000,515000,620000,660000,742500,750000,767500,672500,
AVENEL,212500,268500,221500,230500,231000,302000,245000,250000,355000,349000,370000,445000,
AVOCA,133000,144000,151000,181500,182500,180000,182500,165000,212500,220000,219500,320000,
AVONDALE HEIGHTS,460000,576000,538000,536000,532500,560000,650000,750000,845500,830000,810000,841000,
AVONSLEIGH,309000,321500,385500,345000,420000,355000,397500,501000,562000,540000,532500,NA,
BACCHUS MARSH,279000,305000,330000,325000,335500,348000,355000,376000,415500,480000,500000,490000,
BADGER CREEK,266500,295000,295000,295000,315000,325000,345000,379000,465000,500000,498000,518500,
BAIRNSDALE,218000,230000,235000,231000,235000,244000,246500,255000,270000,276000,274000,290000,
BALACLAVA,750000,916000,793500,717500,860500,942000,1100000,1242500,1385500,1196000,1310000,1430000,
BALCOMBE,539000,655000,718500,686000,712500,737000,871000,950000,1100000,1240000,1109000,1007500,
BALLAN,250000,260000,310000,305000,352000,330000,359000,370000,417000,462000,450000,505000,
BALLARAT CENTRAL,251000,280000,320000,313500,322000,327500,353000,385000,430000,446500,520000,590000,
BALLARAT EAST,205000,225500,245000,255000,265000,265000,275000,295000,310000,340000,360000,375500,
BALLARAT NORTH,230000,272000,275000,280000,296000,312000,315000,339500,346500,389000,413500,425000,
BALNARRING,388500,480000,472500,501500,525000,544000,595000,670000,815000,814500,825000,985000,
BALNARRING BEACH,710000,787500,630000,660000,750000,700000,887500,904000,890000,1115000,1275000,1175000,
BALWYN,1279500,1450000,1363000,1295000,1530000,1782500,2210000,2180000,2335500,2420000,2392500,2321500,
BALWYN NORTH,981000,1141000,1100000,997500,1240000,1452000,1850000,1800000,1950000,1810000,1700000,1910000,
BANNOCKBURN,305000,342500,378000,351500,370000,405000,389000,382000,430000,487500,529000,580000,
BARANDUDA,312000,353000,340000,340000,345000,330000,323000,350000,350000,403500,395000,449000,
BARNAWARTHA,191500,169000,220000,222000,245000,220000,305000,245000,312000,280000,316000,432500,
BARWON HEADS,505000,615500,607500,632500,742500,715000,773000,842500,920500,965000,1007500,1130000,
BAXTER,282500,317000,320000,315000,330500,325000,340000,403000,530000,542500,530000,541500,
BAYSWATER,372000,453500,447500,426500,458500,525000,632500,693000,801000,753000,715000,750500,
BAYSWATER NORTH,371500,450000,436000,426500,468500,490000,580000,628000,735000,713000,695000,759500,
BEACONSFIELD,417500,460000,505000,511500,486500,525000,559000,585000,694500,730000,690000,762500,
BEACONSFIELD UPPER,376500,472000,437500,535000,470000,507500,602500,630000,725500,903500,787500,815000,
BEAUFORT,167500,174500,142500,186000,186000,220000,205000,237500,220000,225000,242500,329000,
BEAUMARIS,918500,1107500,1050000,997000,1074000,1129500,1345000,1455000,1611000,1674000,1582500,1610000,
BEEAC,148000,121500,197500,216000,157500,162500,158000,148000,200500,191500,195000,NA,
BEECHWORTH,260000,310500,320000,304500,295000,295000,332000,345000,399000,400000,472000,480000,
BELGRAVE,370000,380000,375000,390000,410000,426000,482500,545000,620000,676000,636000,664000,
